,time,date,stock_code_x,current_hour_pillar,current_day_pillar,current_day_pillar_minus,current_hour_pillar_minus,current_month_pillar,current_year_pillar,current_year_pillar_minus,current_month_pillar_minus,current_wuxi_hour,current_wuxi_day,current_wuxi_month,current_wuxi_year,base_year_pillar,base_month_pillar,base_day_pillar,base_hour_pillar,base_month_pillar_minus,base_hour_pillar_minus,base_year_pillar_minus,base_day_pillar_minus,stock_code_y,uuid,last_modified_date,year,month,day,hour,dayofweek,quarter,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end,dayofyear,weekofyear,current_hour_pillar_heavenly,current_hour_pillar_earthly,current_hour_pillar_heavenly_sin,current_hour_pillar_heavenly_cos,current_hour_pillar_earthly_sin,current_hour_pillar_earthly_cos,current_day_pillar_heavenly,current_day_pillar_earthly,current_day_pillar_heavenly_sin,current_day_pillar_heavenly_cos,current_day_pillar_earthly_sin,current_day_pillar_earthly_cos,current_day_pillar_minus_heavenly,current_day_pillar_minus_earthly,current_day_pillar_minus_heavenly_sin,current_day_pillar_minus_heavenly_cos,current_day_pillar_minus_earthly_sin,current_day_pillar_minus_earthly_cos,current_hour_pillar_minus_heavenly,current_hour_pillar_minus_earthly,current_hour_pillar_minus_heavenly_sin,current_hour_pillar_minus_heavenly_cos,current_hour_pillar_minus_earthly_sin,current_hour_pillar_minus_earthly_cos,current_month_pillar_heavenly,current_month_pillar_earthly,current_month_pillar_heavenly_sin,current_month_pillar_heavenly_cos,current_month_pillar_earthly_sin,current_month_pillar_earthly_cos,current_year_pillar_heavenly,current_year_pillar_earthly,current_year_pillar_heavenly_sin,current_year_pillar_heavenly_cos,current_year_pillar_earthly_sin,current_year_pillar_earthly_cos,current_year_pillar_minus_heavenly,current_year_pillar_minus_earthly,current_year_pillar_minus_heavenly_sin,current_year_pillar_minus_heavenly_cos,current_year_pillar_minus_earthly_sin,current_year_pillar_minus_earthly_cos,current_month_pillar_minus_heavenly,current_month_pillar_minus_earthly,current_month_pillar_minus_heavenly_sin,current_month_pillar_minus_heavenly_cos,current_month_pillar_minus_earthly_sin,current_month_pillar_minus_earthly_cos,base_year_pillar_heavenly,base_year_pillar_earthly,base_year_pillar_heavenly_sin,base_year_pillar_heavenly_cos,base_year_pillar_earthly_sin,base_year_pillar_earthly_cos,base_month_pillar_heavenly,base_month_pillar_earthly,base_month_pillar_heavenly_sin,base_month_pillar_heavenly_cos,base_month_pillar_earthly_sin,base_month_pillar_earthly_cos,base_day_pillar_heavenly,base_day_pillar_earthly,base_day_pillar_heavenly_sin,base_day_pillar_heavenly_cos,base_day_pillar_earthly_sin,base_day_pillar_earthly_cos,base_hour_pillar_heavenly,base_hour_pillar_earthly,base_hour_pillar_heavenly_sin,base_hour_pillar_heavenly_cos,base_hour_pillar_earthly_sin,base_hour_pillar_earthly_cos,base_month_pillar_minus_heavenly,base_month_pillar_minus_earthly,base_month_pillar_minus_heavenly_sin,base_month_pillar_minus_heavenly_cos,base_month_pillar_minus_earthly_sin,base_month_pillar_minus_earthly_cos,base_hour_pillar_minus_heavenly,base_hour_pillar_minus_earthly,base_hour_pillar_minus_heavenly_sin,base_hour_pillar_minus_heavenly_cos,base_hour_pillar_minus_earthly_sin,base_hour_pillar_minus_earthly_cos,base_year_pillar_minus_heavenly,base_year_pillar_minus_earthly,base_year_pillar_minus_heavenly_sin,base_year_pillar_minus_heavenly_cos,base_year_pillar_minus_earthly_sin,base_year_pillar_minus_earthly_cos,base_day_pillar_minus_heavenly,base_day_pillar_minus_earthly,base_day_pillar_minus_heavenly_sin,base_day_pillar_minus_heavenly_cos,base_day_pillar_minus_earthly_sin,base_day_pillar_minus_earthly_cos,cs_base_hour_current_hour,cs_base_hour_current_day,cs_base_hour_current_hour_minus,cs_base_hour_current_month,cs_base_hour_current_year,cs_base_hour_current_month_minus,cs_base_day_current_hour,cs_base_day_current_day,cs_base_day_current_hour_minus,cs_base_day_current_month,cs_base_day_current_year,cs_base_day_current_month_minus,cs_base_hour_minus_current_hour,cs_base_hour_minus_current_day,cs_base_hour_minus_current_hour_minus,cs_base_hour_minus_current_month,cs_base_hour_minus_current_year,cs_base_hour_minus_current_month_minus,cs_base_month_current_hour,cs_base_month_current_day,cs_base_month_current_hour_minus,cs_base_month_current_month,cs_base_month_current_year,cs_base_month_current_month_minus,cs_base_year_current_hour,cs_base_year_current_day,cs_base_year_current_hour_minus,cs_base_year_current_month,cs_base_year_current_year,cs_base_year_current_month_minus,cs_base_month_minus_current_hour,cs_base_month_minus_current_day,cs_base_month_minus_current_hour_minus,cs_base_month_minus_current_month,cs_base_month_minus_current_year,cs_base_month_minus_current_month_minus
0,2024-12-09 04:44:05.271451+08:00,2024-12-09 04:44:05.271451+08:00,HSI,壬寅,丁未,壬子,丁未,丙子,己未,甲寅,辛未,己巳,丁未,丙子,己卯,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,2105184792552433009,2025-06-03 20:44:24.653074+08:00,2024,12,9,4,0,4,False,False,False,False,False,False,344,50,壬,寅,-0.951057,0.309017,0.866025,0.5,丁,未,0.951057,-0.309017,-0.5,-0.866025,壬,子,-0.951057,0.309017,0,1,丁,未,0.951057,-0.309017,-0.5,-0.866025,丙,子,0.951057,0.309017,0,1,己,未,1.22465e-16,-1,-0.5,-0.866025,甲,寅,0,1,0.866025,0.5,辛,未,-0.951057,-0.309017,-0.5,-0.866025,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,長生,衰,衰,胎,衰,衰,沐浴,墓庫,墓庫,臨官,墓庫,墓庫,胎,衰,衰,長生,衰,衰,帝旺,養,養,病,養,養,死,冠帶,冠帶,絕,冠帶,冠帶,絕,冠帶,冠帶,死,冠帶,冠帶
1,2024-12-10 04:44:05.271451+08:00,2024-12-10 04:44:05.271451+08:00,HSI,甲寅,戊申,癸丑,己未,丙子,己未,甲寅,辛未,辛巳,戊申,辛子,己卯,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,10617779351656503864,2025-06-03 20:44:24.653074+08:00,2024,12,10,4,1,4,False,False,False,False,False,False,345,50,甲,寅,0,1,0.866025,0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,癸,丑,-0.587785,0.809017,0.5,0.866025,己,未,1.22465e-16,-1,-0.5,-0.866025,丙,子,0.951057,0.309017,0,1,己,未,1.22465e-16,-1,-0.5,-0.866025,甲,寅,0,1,0.866025,0.5,辛,未,-0.951057,-0.309017,-0.5,-0.866025,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,長生,病,衰,胎,衰,衰,沐浴,死,墓庫,臨官,墓庫,墓庫,胎,帝旺,衰,長生,衰,衰,帝旺,胎,養,病,養,養,死,沐浴,冠帶,絕,冠帶,冠帶,絕,臨官,冠帶,死,冠帶,冠帶
2,2024-12-11 04:44:05.271451+08:00,2024-12-11 04:44:05.271451+08:00,HSI,丙寅,己酉,甲寅,辛未,丙子,己未,甲寅,辛未,癸巳,己酉,辛子,己卯,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,18133265146859744630,2025-06-03 20:44:24.653074+08:00,2024,12,11,4,2,4,False,False,False,False,False,False,346,50,丙,寅,0.951057,0.309017,0.866025,0.5,己,酉,1.22465e-16,-1,-1,-1.83697e-16,甲,寅,0,1,0.866025,0.5,辛,未,-0.951057,-0.309017,-0.5,-0.866025,丙,子,0.951057,0.309017,0,1,己,未,1.22465e-16,-1,-0.5,-0.866025,甲,寅,0,1,0.866025,0.5,辛,未,-0.951057,-0.309017,-0.5,-0.866025,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,長生,死,衰,胎,衰,衰,沐浴,病,墓庫,臨官,墓庫,墓庫,胎,臨官,衰,長生,衰,衰,帝旺,絕,養,病,養,養,死,長生,冠帶,絕,冠帶,冠帶,絕,帝旺,冠帶,死,冠帶,冠帶
3,2024-12-12 04:44:05.271451+08:00,2024-12-12 04:44:05.271451+08:00,HSI,戊寅,庚戌,乙卯,癸未,丙子,己未,甲寅,辛未,乙巳,庚戌,辛子,己卯,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,4818496709683355877,2025-06-03 20:44:24.653074+08:00,2024,12,12,4,3,4,False,False,False,False,False,False,347,50,戊,寅,0.587785,-0.809017,0.866025,0.5,庚,戌,-0.587785,-0.809017,-0.866025,0.5,乙,卯,0.587785,0.809017,1,6.12323e-17,癸,未,-0.587785,0.809017,-0.5,-0.866025,丙,子,0.951057,0.309017,0,1,己,未,1.22465e-16,-1,-0.5,-0.866025,甲,寅,0,1,0.866025,0.5,辛,未,-0.951057,-0.309017,-0.5,-0.866025,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,長生,墓庫,衰,胎,衰,衰,沐浴,衰,墓庫,臨官,墓庫,墓庫,胎,冠帶,衰,長生,衰,衰,帝旺,墓庫,養,病,養,養,死,養,冠帶,絕,冠帶,冠帶,絕,衰,冠帶,死,冠帶,冠帶
4,2024-12-13 04:44:05.271451+08:00,2024-12-13 04:44:05.271451+08:00,HSI,庚寅,辛亥,丙辰,乙未,丙子,己未,甲寅,辛未,丁巳,辛亥,壬子,己卯,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,6495436392372770028,2025-06-03 20:44:24.653074+08:00,2024,12,13,4,4,4,False,False,False,False,False,False,348,50,庚,寅,-0.587785,-0.809017,0.866025,0.5,辛,亥,-0.951057,-0.309017,-0.5,0.866025,丙,辰,0.951057,0.309017,0.866025,-0.5,乙,未,0.587785,0.809017,-0.5,-0.866025,丙,子,0.951057,0.309017,0,1,己,未,1.22465e-16,-1,-0.5,-0.866025,甲,寅,0,1,0.866025,0.5,辛,未,-0.951057,-0.309017,-0.5,-0.866025,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,長生,絕,衰,胎,衰,衰,沐浴,帝旺,墓庫,臨官,墓庫,墓庫,胎,沐浴,衰,長生,衰,衰,帝旺,死,養,病,養,養,死,胎,冠帶,絕,冠帶,冠帶,絕,病,冠帶,死,冠帶,冠帶
5,2024-12-16 04:44:05.271451+08:00,2024-12-16 04:44:05.271451+08:00,HSI,丙寅,甲寅,己未,辛未,丙子,己未,甲寅,辛未,癸巳,甲寅,丁子,己卯,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,11147463109901994317,2025-06-03 20:44:24.653074+08:00,2024,12,16,4,0,4,False,False,False,False,False,False,351,51,丙,寅,0.951057,0.309017,0.866025,0.5,甲,寅,0,1,0.866025,0.5,己,未,1.22465e-16,-1,-0.5,-0.866025,辛,未,-0.951057,-0.309017,-0.5,-0.866025,丙,子,0.951057,0.309017,0,1,己,未,1.22465e-16,-1,-0.5,-0.866025,甲,寅,0,1,0.866025,0.5,辛,未,-0.951057,-0.309017,-0.5,-0.866025,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,長生,長生,衰,胎,衰,衰,沐浴,沐浴,墓庫,臨官,墓庫,墓庫,胎,胎,衰,長生,衰,衰,帝旺,帝旺,養,病,養,養,死,死,冠帶,絕,冠帶,冠帶,絕,絕,冠帶,死,冠帶,冠帶
6,2024-12-17 04:44:05.271451+08:00,2024-12-17 04:44:05.271451+08:00,HSI,戊寅,乙卯,庚申,癸未,丙子,己未,甲寅,辛未,乙巳,乙卯,丁子,己卯,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,17760090544313942449,2025-06-03 20:44:24.653074+08:00,2024,12,17,4,1,4,False,False,False,False,False,False,352,51,戊,寅,0.587785,-0.809017,0.866025,0.5,乙,卯,0.587785,0.809017,1,6.12323e-17,庚,申,-0.587785,-0.809017,-0.866025,-0.5,癸,未,-0.587785,0.809017,-0.5,-0.866025,丙,子,0.951057,0.309017,0,1,己,未,1.22465e-16,-1,-0.5,-0.866025,甲,寅,0,1,0.866025,0.5,辛,未,-0.951057,-0.309017,-0.5,-0.866025,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,長生,沐浴,衰,胎,衰,衰,沐浴,長生,墓庫,臨官,墓庫,墓庫,胎,絕,衰,長生,衰,衰,帝旺,臨官,養,病,養,養,死,病,冠帶,絕,冠帶,冠帶,絕,胎,冠帶,死,冠帶,冠帶
7,2024-12-18 04:44:05.271451+08:00,2024-12-18 04:44:05.271451+08:00,HSI,庚寅,丙辰,辛酉,乙未,丙子,己未,甲寅,辛未,丁巳,丙辰,丁子,己卯,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,8105453601620475981,2025-06-03 20:44:24.653074+08:00,2024,12,18,4,2,4,False,False,False,False,False,False,353,51,庚,寅,-0.587785,-0.809017,0.866025,0.5,丙,辰,0.951057,0.309017,0.866025,-0.5,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,乙,未,0.587785,0.809017,-0.5,-0.866025,丙,子,0.951057,0.309017,0,1,己,未,1.22465e-16,-1,-0.5,-0.866025,甲,寅,0,1,0.866025,0.5,辛,未,-0.951057,-0.309017,-0.5,-0.866025,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,長生,冠帶,衰,胎,衰,衰,沐浴,養,墓庫,臨官,墓庫,墓庫,胎,墓庫,衰,長生,衰,衰,帝旺,冠帶,養,病,養,養,死,衰,冠帶,絕,冠帶,冠帶,絕,養,冠帶,死,冠帶,冠帶
8,2024-12-19 04:44:05.271451+08:00,2024-12-19 04:44:05.271451+08:00,HSI,壬寅,丁巳,壬戌,丁未,丙子,己未,甲寅,辛未,己巳,丁巳,戊子,己卯,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,8011450518865519302,2025-06-03 20:44:24.653074+08:00,2024,12,19,4,3,4,False,False,False,False,False,False,354,51,壬,寅,-0.951057,0.309017,0.866025,0.5,丁,巳,0.951057,-0.309017,0.5,-0.866025,壬,戌,-0.951057,0.309017,-0.866025,0.5,丁,未,0.951057,-0.309017,-0.5,-0.866025,丙,子,0.951057,0.309017,0,1,己,未,1.22465e-16,-1,-0.5,-0.866025,甲,寅,0,1,0.866025,0.5,辛,未,-0.951057,-0.309017,-0.5,-0.866025,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,長生,臨官,衰,胎,衰,衰,沐浴,胎,墓庫,臨官,墓庫,墓庫,胎,死,衰,長生,衰,衰,帝旺,沐浴,養,病,養,養,死,帝旺,冠帶,絕,冠帶,冠帶,絕,長生,冠帶,死,冠帶,冠帶
9,2024-12-20 04:44:05.271451+08:00,2024-12-20 04:44:05.271451+08:00,HSI,甲寅,戊午,癸亥,己未,丙子,己未,甲寅,辛未,辛巳,戊午,戊子,己卯,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,2049064393692936577,2025-06-03 20:44:24.653074+08:00,2024,12,20,4,4,4,False,False,False,False,False,False,355,51,甲,寅,0,1,0.866025,0.5,戊,午,0.587785,-0.809017,1.22465e-16,-1,癸,亥,-0.587785,0.809017,-0.5,0.866025,己,未,1.22465e-16,-1,-0.5,-0.866025,丙,子,0.951057,0.309017,0,1,己,未,1.22465e-16,-1,-0.5,-0.866025,甲,寅,0,1,0.866025,0.5,辛,未,-0.951057,-0.309017,-0.5,-0.866025,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,長生,帝旺,衰,胎,衰,衰,沐浴,絕,墓庫,臨官,墓庫,墓庫,胎,病,衰,長生,衰,衰,帝旺,長生,養,病,養,養,死,臨官,冠帶,絕,冠帶,冠帶,絕,沐浴,冠帶,死,冠帶,冠帶
