,date,weekday
0,2025-06-03 10:18:29.313547+08:00,Tuesday
1,2025-06-04 10:18:29.313547+08:00,Wednesday
2,2025-06-05 10:18:29.313547+08:00,Thursday
3,2025-06-06 10:18:29.313547+08:00,Friday
4,2025-06-09 10:18:29.313547+08:00,Monday
5,2025-06-10 10:18:29.313547+08:00,Tuesday
6,2025-06-11 10:18:29.313547+08:00,Wednesday
7,2025-06-12 10:18:29.313547+08:00,Thursday
8,2025-06-13 10:18:29.313547+08:00,Friday
9,2025-06-16 10:18:29.313547+08:00,Monday
10,2025-06-17 10:18:29.313547+08:00,Tuesday
11,2025-06-18 10:18:29.313547+08:00,Wednesday
12,2025-06-19 10:18:29.313547+08:00,Thursday
13,2025-06-20 10:18:29.313547+08:00,Friday
14,2025-06-23 10:18:29.313547+08:00,Monday
15,2025-06-24 10:18:29.313547+08:00,Tuesday
16,2025-06-25 10:18:29.313547+08:00,Wednesday
17,2025-06-26 10:18:29.313547+08:00,Thursday
18,2025-06-27 10:18:29.313547+08:00,Friday
19,2025-06-30 10:18:29.313547+08:00,Monday
20,2025-07-01 10:18:29.313547+08:00,Tuesday
21,2025-07-02 10:18:29.313547+08:00,Wednesday
22,2025-07-03 10:18:29.313547+08:00,Thursday
23,2025-07-04 10:18:29.313547+08:00,Friday
24,2025-07-07 10:18:29.313547+08:00,Monday
25,2025-07-08 10:18:29.313547+08:00,Tuesday
26,2025-07-09 10:18:29.313547+08:00,Wednesday
27,2025-07-10 10:18:29.313547+08:00,Thursday
28,2025-07-11 10:18:29.313547+08:00,Friday
29,2025-07-14 10:18:29.313547+08:00,Monday
30,2025-07-15 10:18:29.313547+08:00,Tuesday
31,2025-07-16 10:18:29.313547+08:00,Wednesday
32,2025-07-17 10:18:29.313547+08:00,Thursday
33,2025-07-18 10:18:29.313547+08:00,Friday
34,2025-07-21 10:18:29.313547+08:00,Monday
35,2025-07-22 10:18:29.313547+08:00,Tuesday
36,2025-07-23 10:18:29.313547+08:00,Wednesday
37,2025-07-24 10:18:29.313547+08:00,Thursday
38,2025-07-25 10:18:29.313547+08:00,Friday
39,2025-07-28 10:18:29.313547+08:00,Monday
40,2025-07-29 10:18:29.313547+08:00,Tuesday
41,2025-07-30 10:18:29.313547+08:00,Wednesday
42,2025-07-31 10:18:29.313547+08:00,Thursday
43,2025-08-01 10:18:29.313547+08:00,Friday
44,2025-08-04 10:18:29.313547+08:00,Monday
45,2025-08-05 10:18:29.313547+08:00,Tuesday
46,2025-08-06 10:18:29.313547+08:00,Wednesday
47,2025-08-07 10:18:29.313547+08:00,Thursday
48,2025-08-08 10:18:29.313547+08:00,Friday
49,2025-08-11 10:18:29.313547+08:00,Monday
50,2025-08-12 10:18:29.313547+08:00,Tuesday
51,2025-08-13 10:18:29.313547+08:00,Wednesday
52,2025-08-14 10:18:29.313547+08:00,Thursday
53,2025-08-15 10:18:29.313547+08:00,Friday
54,2025-08-18 10:18:29.313547+08:00,Monday
55,2025-08-19 10:18:29.313547+08:00,Tuesday
56,2025-08-20 10:18:29.313547+08:00,Wednesday
57,2025-08-21 10:18:29.313547+08:00,Thursday
58,2025-08-22 10:18:29.313547+08:00,Friday
59,2025-08-25 10:18:29.313547+08:00,Monday
60,2025-08-26 10:18:29.313547+08:00,Tuesday
61,2025-08-27 10:18:29.313547+08:00,Wednesday
62,2025-08-28 10:18:29.313547+08:00,Thursday
63,2025-08-29 10:18:29.313547+08:00,Friday
