,date,weekday
0,2025-06-03 17:09:06.385433+08:00,Tuesday
1,2025-06-04 17:09:06.385433+08:00,Wednesday
2,2025-06-05 17:09:06.385433+08:00,Thursday
3,2025-06-06 17:09:06.385433+08:00,Friday
4,2025-06-09 17:09:06.385433+08:00,Monday
5,2025-06-10 17:09:06.385433+08:00,Tuesday
6,2025-06-11 17:09:06.385433+08:00,Wednesday
7,2025-06-12 17:09:06.385433+08:00,Thursday
8,2025-06-13 17:09:06.385433+08:00,Friday
9,2025-06-16 17:09:06.385433+08:00,Monday
10,2025-06-17 17:09:06.385433+08:00,Tuesday
11,2025-06-18 17:09:06.385433+08:00,Wednesday
12,2025-06-19 17:09:06.385433+08:00,Thursday
13,2025-06-20 17:09:06.385433+08:00,Friday
14,2025-06-23 17:09:06.385433+08:00,Monday
15,2025-06-24 17:09:06.385433+08:00,Tuesday
16,2025-06-25 17:09:06.385433+08:00,Wednesday
17,2025-06-26 17:09:06.385433+08:00,Thursday
18,2025-06-27 17:09:06.385433+08:00,Friday
19,2025-06-30 17:09:06.385433+08:00,Monday
20,2025-07-01 17:09:06.385433+08:00,Tuesday
21,2025-07-02 17:09:06.385433+08:00,Wednesday
22,2025-07-03 17:09:06.385433+08:00,Thursday
23,2025-07-04 17:09:06.385433+08:00,Friday
24,2025-07-07 17:09:06.385433+08:00,Monday
25,2025-07-08 17:09:06.385433+08:00,Tuesday
26,2025-07-09 17:09:06.385433+08:00,Wednesday
27,2025-07-10 17:09:06.385433+08:00,Thursday
28,2025-07-11 17:09:06.385433+08:00,Friday
29,2025-07-14 17:09:06.385433+08:00,Monday
30,2025-07-15 17:09:06.385433+08:00,Tuesday
31,2025-07-16 17:09:06.385433+08:00,Wednesday
32,2025-07-17 17:09:06.385433+08:00,Thursday
33,2025-07-18 17:09:06.385433+08:00,Friday
34,2025-07-21 17:09:06.385433+08:00,Monday
35,2025-07-22 17:09:06.385433+08:00,Tuesday
36,2025-07-23 17:09:06.385433+08:00,Wednesday
37,2025-07-24 17:09:06.385433+08:00,Thursday
38,2025-07-25 17:09:06.385433+08:00,Friday
39,2025-07-28 17:09:06.385433+08:00,Monday
40,2025-07-29 17:09:06.385433+08:00,Tuesday
41,2025-07-30 17:09:06.385433+08:00,Wednesday
42,2025-07-31 17:09:06.385433+08:00,Thursday
43,2025-08-01 17:09:06.385433+08:00,Friday
44,2025-08-04 17:09:06.385433+08:00,Monday
45,2025-08-05 17:09:06.385433+08:00,Tuesday
46,2025-08-06 17:09:06.385433+08:00,Wednesday
47,2025-08-07 17:09:06.385433+08:00,Thursday
48,2025-08-08 17:09:06.385433+08:00,Friday
49,2025-08-11 17:09:06.385433+08:00,Monday
50,2025-08-12 17:09:06.385433+08:00,Tuesday
51,2025-08-13 17:09:06.385433+08:00,Wednesday
52,2025-08-14 17:09:06.385433+08:00,Thursday
53,2025-08-15 17:09:06.385433+08:00,Friday
54,2025-08-18 17:09:06.385433+08:00,Monday
55,2025-08-19 17:09:06.385433+08:00,Tuesday
56,2025-08-20 17:09:06.385433+08:00,Wednesday
57,2025-08-21 17:09:06.385433+08:00,Thursday
58,2025-08-22 17:09:06.385433+08:00,Friday
59,2025-08-25 17:09:06.385433+08:00,Monday
60,2025-08-26 17:09:06.385433+08:00,Tuesday
61,2025-08-27 17:09:06.385433+08:00,Wednesday
62,2025-08-28 17:09:06.385433+08:00,Thursday
63,2025-08-29 17:09:06.385433+08:00,Friday
