,Open_x,High_x,Low_x,Close_x,Volume_x,current_hour_pillar,current_day_pillar,current_day_pillar_minus,current_hour_pillar_minus,current_month_pillar,current_year_pillar,current_year_pillar_minus,current_month_pillar_minus,current_wuxi_hour,current_wuxi_day,current_wuxi_month,current_wuxi_year,base_year_pillar,base_month_pillar,base_day_pillar,base_hour_pillar,base_month_pillar_minus,base_hour_pillar_minus,base_year_pillar_minus,base_day_pillar_minus,year,month,day,hour,dayofweek,quarter,dayofyear,weekofyear,current_hour_pillar_heavenly,current_hour_pillar_earthly,current_hour_pillar_heavenly_sin,current_hour_pillar_heavenly_cos,current_hour_pillar_earthly_sin,current_hour_pillar_earthly_cos,current_day_pillar_heavenly,current_day_pillar_earthly,current_day_pillar_heavenly_sin,current_day_pillar_heavenly_cos,current_day_pillar_earthly_sin,current_day_pillar_earthly_cos,current_day_pillar_minus_heavenly,current_day_pillar_minus_earthly,current_day_pillar_minus_heavenly_sin,current_day_pillar_minus_heavenly_cos,current_day_pillar_minus_earthly_sin,current_day_pillar_minus_earthly_cos,current_hour_pillar_minus_heavenly,current_hour_pillar_minus_earthly,current_hour_pillar_minus_heavenly_sin,current_hour_pillar_minus_heavenly_cos,current_hour_pillar_minus_earthly_sin,current_hour_pillar_minus_earthly_cos,current_month_pillar_heavenly,current_month_pillar_earthly,current_month_pillar_heavenly_sin,current_month_pillar_heavenly_cos,current_month_pillar_earthly_sin,current_month_pillar_earthly_cos,current_year_pillar_heavenly,current_year_pillar_earthly,current_year_pillar_heavenly_sin,current_year_pillar_heavenly_cos,current_year_pillar_earthly_sin,current_year_pillar_earthly_cos,current_year_pillar_minus_heavenly,current_year_pillar_minus_earthly,current_year_pillar_minus_heavenly_sin,current_year_pillar_minus_heavenly_cos,current_year_pillar_minus_earthly_sin,current_year_pillar_minus_earthly_cos,current_month_pillar_minus_heavenly,current_month_pillar_minus_earthly,current_month_pillar_minus_heavenly_sin,current_month_pillar_minus_heavenly_cos,current_month_pillar_minus_earthly_sin,current_month_pillar_minus_earthly_cos,base_year_pillar_heavenly,base_year_pillar_earthly,base_year_pillar_heavenly_sin,base_year_pillar_heavenly_cos,base_year_pillar_earthly_sin,base_year_pillar_earthly_cos,base_month_pillar_heavenly,base_month_pillar_earthly,base_month_pillar_heavenly_sin,base_month_pillar_heavenly_cos,base_month_pillar_earthly_sin,base_month_pillar_earthly_cos,base_day_pillar_heavenly,base_day_pillar_earthly,base_day_pillar_heavenly_sin,base_day_pillar_heavenly_cos,base_day_pillar_earthly_sin,base_day_pillar_earthly_cos,base_hour_pillar_heavenly,base_hour_pillar_earthly,base_hour_pillar_heavenly_sin,base_hour_pillar_heavenly_cos,base_hour_pillar_earthly_sin,base_hour_pillar_earthly_cos,base_month_pillar_minus_heavenly,base_month_pillar_minus_earthly,base_month_pillar_minus_heavenly_sin,base_month_pillar_minus_heavenly_cos,base_month_pillar_minus_earthly_sin,base_month_pillar_minus_earthly_cos,base_hour_pillar_minus_heavenly,base_hour_pillar_minus_earthly,base_hour_pillar_minus_heavenly_sin,base_hour_pillar_minus_heavenly_cos,base_hour_pillar_minus_earthly_sin,base_hour_pillar_minus_earthly_cos,base_year_pillar_minus_heavenly,base_year_pillar_minus_earthly,base_year_pillar_minus_heavenly_sin,base_year_pillar_minus_heavenly_cos,base_year_pillar_minus_earthly_sin,base_year_pillar_minus_earthly_cos,base_day_pillar_minus_heavenly,base_day_pillar_minus_earthly,base_day_pillar_minus_heavenly_sin,base_day_pillar_minus_heavenly_cos,base_day_pillar_minus_earthly_sin,base_day_pillar_minus_earthly_cos,cs_base_hour_current_hour,cs_base_hour_current_day,cs_base_hour_current_hour_minus,cs_base_hour_current_month,cs_base_hour_current_year,cs_base_hour_current_month_minus,cs_base_day_current_hour,cs_base_day_current_day,cs_base_day_current_hour_minus,cs_base_day_current_month,cs_base_day_current_year,cs_base_day_current_month_minus,cs_base_hour_minus_current_hour,cs_base_hour_minus_current_day,cs_base_hour_minus_current_hour_minus,cs_base_hour_minus_current_month,cs_base_hour_minus_current_year,cs_base_hour_minus_current_month_minus,cs_base_month_current_hour,cs_base_month_current_day,cs_base_month_current_hour_minus,cs_base_month_current_month,cs_base_month_current_year,cs_base_month_current_month_minus,cs_base_year_current_hour,cs_base_year_current_day,cs_base_year_current_hour_minus,cs_base_year_current_month,cs_base_year_current_year,cs_base_year_current_month_minus,cs_base_month_minus_current_hour,cs_base_month_minus_current_day,cs_base_month_minus_current_hour_minus,cs_base_month_minus_current_month,cs_base_month_minus_current_year,cs_base_month_minus_current_month_minus
12983,20884,20908,20639,20670,7935741,25,28,43,13,38,3,6,52,25,86,77,9,0,0,0,0,0,0,0,0,2025,2,4,11,1,1,35,6,5,2,-0.587785,-0.809017,1.22465e-16,-1,4,8,1.22465e-16,-1,-0.5,-0.866025,7,4,0,1,0,1,2,1,0.587785,0.809017,-0.5,0.866025,6,5,0.587785,-0.809017,0.866025,0.5,2,6,0.587785,0.809017,0.5,-0.866025,5,3,-0.587785,-0.809017,0,1,8,11,-0.587785,0.809017,-1,-1.83697e-16,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,0.951057,0.309017,0.866025,0.5,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,4,9,4,7,2,8,6,1,2,4,5,5,1,9,6,10,6,3,8,11,3,2,4,6,7,0,7,3,2,10,4,0,5,6,8,2
8031,18590,18663,18560,18655,9147665,1,32,16,23,29,0,3,47,1,63,71,2,0,0,0,0,0,0,0,0,2022,9,19,21,0,3,262,38,0,1,0.951057,-0.309017,-0.5,0.866025,5,5,-0.587785,-0.809017,0.866025,0.5,2,8,0.587785,0.809017,-0.5,-0.866025,3,10,-0.951057,0.309017,0.866025,-0.5,4,11,1.22465e-16,-1,-1,-1.83697e-16,0,6,0.951057,-0.309017,0.5,-0.866025,3,3,-0.951057,0.309017,0,1,7,10,0,1,0.866025,-0.5,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,0.951057,0.309017,0.866025,0.5,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,3,7,1,8,2,1,2,4,11,5,5,11,4,10,0,3,6,0,2,2,0,6,4,0,6,3,9,10,2,9,5,6,11,2,8,11
1041,28591,28630,28573,28591,9360328,25,27,43,12,58,10,4,7,25,94,8,14,0,0,0,0,0,0,0,0,2019,7,16,11,1,3,197,29,5,2,-0.587785,-0.809017,1.22465e-16,-1,4,6,1.22465e-16,-1,0.5,-0.866025,7,4,0,1,0,1,2,0,0.587785,0.809017,0.5,0.866025,9,8,-0.951057,-0.309017,-0.5,-0.866025,7,5,0,1,0.866025,0.5,4,7,1.22465e-16,-1,-0.5,-0.866025,1,4,0.951057,0.309017,0,1,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,0.951057,0.309017,0.866025,0.5,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,4,3,11,9,6,10,6,7,0,1,3,8,1,8,11,9,8,7,8,4,9,11,2,5,7,2,1,0,3,6,4,10,1,0,5,3
5758,25870,25885,25745,25802,5741402,48,27,43,8,55,1,14,11,48,58,61,5,0,0,0,0,0,0,0,0,2021,9,3,13,4,3,246,35,9,7,-0.951057,-0.309017,-0.5,-0.866025,4,6,1.22465e-16,-1,0.5,-0.866025,7,4,0,1,0,1,1,5,0.951057,0.309017,0.866025,0.5,9,1,-0.951057,-0.309017,-0.5,0.866025,1,9,0.951057,0.309017,0.866025,-0.5,9,9,-0.951057,-0.309017,-1,-1.83697e-16,1,10,0.951057,0.309017,0.866025,-0.5,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,0.951057,0.309017,0.866025,0.5,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,7,3,7,4,1,1,1,7,4,2,9,11,7,8,10,6,0,0,9,4,2,3,0,0,0,2,3,7,8,9,0,10,6,5,9,11
6778,23170,23177,22864,22985,5432185,30,49,36,47,3,4,0,21,30,79,66,12,0,0,0,0,0,0,0,0,2022,2,24,11,3,1,55,8,6,2,0.587785,-0.809017,1.22465e-16,-1,8,1,-0.587785,0.809017,-0.5,0.866025,6,2,0.587785,-0.809017,1.22465e-16,-1,8,0,-0.587785,0.809017,0.5,0.866025,0,6,0.951057,-0.309017,0.5,-0.866025,3,5,-0.951057,0.309017,0.866025,0.5,0,7,0.951057,-0.309017,-0.5,-0.866025,3,7,-0.951057,0.309017,-0.866025,0.5,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,0.951057,0.309017,0.866025,0.5,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,4,4,11,3,6,0,6,2,0,7,3,9,1,6,11,8,8,1,8,3,9,4,2,1,7,7,1,2,3,11,4,5,1,10,5,9
2517,22922,23100,22666,22724,1052926,29,53,41,14,26,7,2,46,29,107,63,21,0,0,0,0,0,0,0,0,2020,3,16,15,0,1,76,12,5,8,-0.587785,-0.809017,-0.866025,-0.5,8,11,-0.587785,0.809017,-1,-1.83697e-16,6,10,0.587785,-0.809017,0.866025,-0.5,2,3,0.587785,0.809017,1,6.12323e-17,4,3,1.22465e-16,-1,1,6.12323e-17,5,4,-0.587785,-0.809017,0,1,2,5,0.587785,0.809017,0.5,-0.866025,7,9,0,1,-0.866025,-0.5,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,0.951057,0.309017,0.866025,0.5,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,1,8,6,6,8,2,3,5,10,10,6,3,3,3,4,4,5,5,6,6,8,8,5,7,4,10,5,5,5,4,7,2,7,7,2,8
2221,27058,27078,27013,27075,1990038,4,9,57,23,47,7,2,29,4,19,46,21,0,0,0,0,0,0,0,0,2020,1,29,17,2,1,29,5,0,9,0.951057,-0.309017,-1,-1.83697e-16,1,7,0.951057,0.309017,-0.866025,0.5,9,6,-0.951057,-0.309017,0.5,-0.866025,3,10,-0.951057,0.309017,0.866025,-0.5,7,10,0,1,0.866025,-0.5,5,4,-0.587785,-0.809017,0,1,2,5,0.587785,0.809017,0.5,-0.866025,4,11,1.22465e-16,-1,-1,-1.83697e-16,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,0.951057,0.309017,0.866025,0.5,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,6,0,1,1,8,8,5,9,11,11,6,5,2,1,0,0,5,3,5,1,0,0,5,6,8,11,9,9,5,10,2,9,11,11,2,2
11772,18311,18369,18190,18196,3125147,41,48,40,35,46,11,5,24,41,101,81,29,0,0,0,0,0,0,0,0,2024,6,3,21,0,2,155,23,8,1,-0.587785,0.809017,-0.5,0.866025,8,0,-0.587785,0.809017,0.5,0.866025,6,9,0.587785,-0.809017,-0.866025,-0.5,6,2,0.587785,-0.809017,1.22465e-16,-1,7,9,0,1,-0.866025,-0.5,7,9,0,1,0.866025,-0.5,4,9,1.22465e-16,-1,-1,-1.83697e-16,4,0,1.22465e-16,-1,0.5,0.866025,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,0.951057,0.309017,0.866025,0.5,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,3,11,5,2,1,11,2,0,6,3,9,0,4,11,2,5,0,11,2,9,10,7,0,9,6,1,8,4,8,1,5,1,4,8,9,1
8885,21397,21656,21376,21618,1119193,23,48,36,42,44,13,8,29,23,100,53,32,0,0,0,0,0,0,0,0,2023,2,9,13,3,1,40,6,4,7,1.22465e-16,-1,-0.5,-0.866025,8,0,-0.587785,0.809017,0.5,0.866025,6,2,0.587785,-0.809017,1.22465e-16,-1,7,4,0,1,0,1,7,5,0,1,0.866025,0.5,8,3,-0.587785,0.809017,1,6.12323e-17,6,6,0.587785,-0.809017,-0.866025,0.5,4,11,1.22465e-16,-1,-1,-1.83697e-16,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,0.951057,0.309017,0.866025,0.5,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,7,11,10,7,5,8,1,0,8,4,8,5,7,11,7,10,3,3,9,9,5,2,6,6,0,1,6,3,4,10,0,1,3,6,6,2
10210,18064,18129,17879,18023,4477064,22,26,45,42,59,8,12,8,22,58,47,23,0,0,0,0,0,0,0,0,2023,9,18,9,0,3,261,38,4,5,1.22465e-16,-1,0.5,-0.866025,4,3,1.22465e-16,-1,1,6.12323e-17,7,7,0,1,-0.866025,0.5,7,4,0,1,0,1,9,11,-0.951057,-0.309017,-1,-1.83697e-16,6,2,0.587785,-0.809017,1.22465e-16,-1,8,0,-0.587785,0.809017,-0.5,0.866025,1,5,0.951057,0.309017,0.866025,0.5,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,0.951057,0.309017,0.866025,0.5,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,2,6,10,8,4,7,7,10,8,5,4,4,6,4,7,3,2,10,3,8,5,6,8,2,2,5,6,10,7,3,9,7,3,2,3,6
