,time,Open,High,Low,Close,stock_code,ric_code,uuid,last_modified_date
0,2019-01-02 09:00:00+08:00,25856,25868,25011,25165,HSI,^HSI,9005458796727862512,2025-06-04 02:26:12.787748+08:00
1,2019-01-02 11:00:00+08:00,25165,25202,25079,25140,HSI,^HSI,11542945086095500734,2025-06-04 02:26:12.787748+08:00
2,2019-01-02 13:00:00+08:00,25141,25223,25067,25089,HSI,^HSI,890208187118796824,2025-06-04 02:26:12.787748+08:00
3,2019-01-02 15:00:00+08:00,25089,25113,24975,24975,HSI,^HSI,11326098345718102558,2025-06-04 02:26:12.787748+08:00
4,2019-01-02 17:00:00+08:00,25030,25090,25027,25063,HSI,^HSI,1737980405168827083,2025-06-04 02:26:12.787748+08:00
5,2019-01-02 19:00:00+08:00,25064,25147,25055,25106,HSI,^HSI,14856165247715948296,2025-06-04 02:26:12.787748+08:00
6,2019-01-02 21:00:00+08:00,25104,25198,25076,25168,HSI,^HSI,303987401155156108,2025-06-04 02:26:12.787748+08:00
7,2019-01-02 23:00:00+08:00,25168,25363,25141,25308,HSI,^HSI,10026563705951169894,2025-06-04 02:26:12.787748+08:00
8,2019-01-03 09:00:00+08:00,25056,25238,24978,25042,HSI,^HSI,4026650086461192810,2025-06-04 02:26:12.787748+08:00
9,2019-01-03 11:00:00+08:00,25042,25048,24907,25023,HSI,^HSI,2941670709501618096,2025-06-04 02:26:12.787748+08:00
10,2019-01-03 13:00:00+08:00,25023,25058,24876,25031,HSI,^HSI,17913082905581711791,2025-06-04 02:26:12.787748+08:00
11,2019-01-03 15:00:00+08:00,25032,25092,24993,25057,HSI,^HSI,9527194102012009684,2025-06-04 02:26:12.787748+08:00
12,2019-01-03 17:00:00+08:00,25055,25081,25000,25033,HSI,^HSI,4506520233114344532,2025-06-04 02:26:12.787748+08:00
13,2019-01-03 19:00:00+08:00,25035,25112,24964,25094,HSI,^HSI,12817725387272955159,2025-06-04 02:26:12.787748+08:00
14,2019-01-03 21:00:00+08:00,25097,25177,25094,25119,HSI,^HSI,6667132313648320524,2025-06-04 02:26:12.787748+08:00
15,2019-01-03 23:00:00+08:00,25118,25153,25005,25110,HSI,^HSI,5096098240891792872,2025-06-04 02:26:12.787748+08:00
16,2019-01-04 09:00:00+08:00,24920,25412,24893,25410,HSI,^HSI,17819085565273831547,2025-06-04 02:26:12.787748+08:00
17,2019-01-04 11:00:00+08:00,25410,25466,25357,25416,HSI,^HSI,15917694142028059003,2025-06-04 02:26:12.787748+08:00
18,2019-01-04 13:00:00+08:00,25410,25564,25373,25551,HSI,^HSI,9186294440618052781,2025-06-04 02:26:12.787748+08:00
19,2019-01-04 15:00:00+08:00,25552,25659,25535,25601,HSI,^HSI,3142592316399151188,2025-06-04 02:26:12.787748+08:00
20,2019-01-04 17:00:00+08:00,25600,25767,25588,25666,HSI,^HSI,18391986101809585439,2025-06-04 02:26:12.787748+08:00
21,2019-01-04 19:00:00+08:00,25667,25715,25635,25657,HSI,^HSI,13330084762772595391,2025-06-04 02:26:12.787748+08:00
22,2019-01-04 21:00:00+08:00,25655,25729,25594,25721,HSI,^HSI,10383407376581232425,2025-06-04 02:26:12.787748+08:00
23,2019-01-04 23:00:00+08:00,25720,25981,25679,25949,HSI,^HSI,6886626724787277331,2025-06-04 02:26:12.787748+08:00
24,2019-01-07 09:00:00+08:00,26020,26098,25847,25927,HSI,^HSI,1552026061148877185,2025-06-04 02:26:12.787748+08:00
25,2019-01-07 11:00:00+08:00,25927,25934,25773,25822,HSI,^HSI,4418251023526105616,2025-06-04 02:26:12.787748+08:00
26,2019-01-07 13:00:00+08:00,25822,25886,25753,25806,HSI,^HSI,6481178229817816080,2025-06-04 02:26:12.787748+08:00
