,time,date,stock_code_x,current_hour_pillar,current_day_pillar,current_day_pillar_minus,current_hour_pillar_minus,current_month_pillar,current_year_pillar,current_year_pillar_minus,current_month_pillar_minus,current_wuxi_hour,current_wuxi_day,current_wuxi_month,current_wuxi_year,base_year_pillar,base_month_pillar,base_day_pillar,base_hour_pillar,base_month_pillar_minus,base_hour_pillar_minus,base_year_pillar_minus,base_day_pillar_minus,stock_code_y,uuid,last_modified_date,year,month,day,hour,dayofweek,quarter,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end,dayofyear,weekofyear,current_hour_pillar_heavenly,current_hour_pillar_earthly,current_hour_pillar_heavenly_sin,current_hour_pillar_heavenly_cos,current_hour_pillar_earthly_sin,current_hour_pillar_earthly_cos,current_day_pillar_heavenly,current_day_pillar_earthly,current_day_pillar_heavenly_sin,current_day_pillar_heavenly_cos,current_day_pillar_earthly_sin,current_day_pillar_earthly_cos,current_day_pillar_minus_heavenly,current_day_pillar_minus_earthly,current_day_pillar_minus_heavenly_sin,current_day_pillar_minus_heavenly_cos,current_day_pillar_minus_earthly_sin,current_day_pillar_minus_earthly_cos,current_hour_pillar_minus_heavenly,current_hour_pillar_minus_earthly,current_hour_pillar_minus_heavenly_sin,current_hour_pillar_minus_heavenly_cos,current_hour_pillar_minus_earthly_sin,current_hour_pillar_minus_earthly_cos,current_month_pillar_heavenly,current_month_pillar_earthly,current_month_pillar_heavenly_sin,current_month_pillar_heavenly_cos,current_month_pillar_earthly_sin,current_month_pillar_earthly_cos,current_year_pillar_heavenly,current_year_pillar_earthly,current_year_pillar_heavenly_sin,current_year_pillar_heavenly_cos,current_year_pillar_earthly_sin,current_year_pillar_earthly_cos,current_year_pillar_minus_heavenly,current_year_pillar_minus_earthly,current_year_pillar_minus_heavenly_sin,current_year_pillar_minus_heavenly_cos,current_year_pillar_minus_earthly_sin,current_year_pillar_minus_earthly_cos,current_month_pillar_minus_heavenly,current_month_pillar_minus_earthly,current_month_pillar_minus_heavenly_sin,current_month_pillar_minus_heavenly_cos,current_month_pillar_minus_earthly_sin,current_month_pillar_minus_earthly_cos,base_year_pillar_heavenly,base_year_pillar_earthly,base_year_pillar_heavenly_sin,base_year_pillar_heavenly_cos,base_year_pillar_earthly_sin,base_year_pillar_earthly_cos,base_month_pillar_heavenly,base_month_pillar_earthly,base_month_pillar_heavenly_sin,base_month_pillar_heavenly_cos,base_month_pillar_earthly_sin,base_month_pillar_earthly_cos,base_day_pillar_heavenly,base_day_pillar_earthly,base_day_pillar_heavenly_sin,base_day_pillar_heavenly_cos,base_day_pillar_earthly_sin,base_day_pillar_earthly_cos,base_hour_pillar_heavenly,base_hour_pillar_earthly,base_hour_pillar_heavenly_sin,base_hour_pillar_heavenly_cos,base_hour_pillar_earthly_sin,base_hour_pillar_earthly_cos,base_month_pillar_minus_heavenly,base_month_pillar_minus_earthly,base_month_pillar_minus_heavenly_sin,base_month_pillar_minus_heavenly_cos,base_month_pillar_minus_earthly_sin,base_month_pillar_minus_earthly_cos,base_hour_pillar_minus_heavenly,base_hour_pillar_minus_earthly,base_hour_pillar_minus_heavenly_sin,base_hour_pillar_minus_heavenly_cos,base_hour_pillar_minus_earthly_sin,base_hour_pillar_minus_earthly_cos,base_year_pillar_minus_heavenly,base_year_pillar_minus_earthly,base_year_pillar_minus_heavenly_sin,base_year_pillar_minus_heavenly_cos,base_year_pillar_minus_earthly_sin,base_year_pillar_minus_earthly_cos,base_day_pillar_minus_heavenly,base_day_pillar_minus_earthly,base_day_pillar_minus_heavenly_sin,base_day_pillar_minus_heavenly_cos,base_day_pillar_minus_earthly_sin,base_day_pillar_minus_earthly_cos
0,2024-12-06 21:42:26.216808+08:00,2024-12-06 21:42:26.216808+08:00,HSI,乙亥,己未,甲子,庚辰,庚寅,己未,甲寅,乙酉,乙亥,己申,甲寅,己卯,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,4781084091368611947,2025-06-03 13:42:33.969231+08:00,2024,12,6,21,4,4,False,False,False,False,False,False,341,49,乙,亥,0.587785,0.809017,-0.5,0.866025,己,未,1.22465e-16,-1,-0.5,-0.866025,甲,子,0,1,0,1,庚,辰,-0.587785,-0.809017,0.866025,-0.5,庚,寅,-0.587785,-0.809017,0.866025,0.5,己,未,1.22465e-16,-1,-0.5,-0.866025,甲,寅,0,1,0.866025,0.5,乙,酉,0.587785,0.809017,-1,-1.83697e-16,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5
1,2024-12-09 21:42:26.216808+08:00,2024-12-09 21:42:26.216808+08:00,HSI,辛亥,壬戌,丁卯,丙辰,丙子,己未,甲寅,辛未,辛亥,壬亥,丙子,己卯,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,14115074492957513355,2025-06-03 13:42:33.969231+08:00,2024,12,9,21,0,4,False,False,False,False,False,False,344,50,辛,亥,-0.951057,-0.309017,-0.5,0.866025,壬,戌,-0.951057,0.309017,-0.866025,0.5,丁,卯,0.951057,-0.309017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,丙,子,0.951057,0.309017,0,1,己,未,1.22465e-16,-1,-0.5,-0.866025,甲,寅,0,1,0.866025,0.5,辛,未,-0.951057,-0.309017,-0.5,-0.866025,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5
2,2024-12-10 21:42:26.216808+08:00,2024-12-10 21:42:26.216808+08:00,HSI,癸亥,癸亥,戊辰,戊辰,丙子,己未,甲寅,辛未,癸亥,癸子,辛子,己卯,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,10890998361347830226,2025-06-03 13:42:33.969231+08:00,2024,12,10,21,1,4,False,False,False,False,False,False,345,50,癸,亥,-0.587785,0.809017,-0.5,0.866025,癸,亥,-0.587785,0.809017,-0.5,0.866025,戊,辰,0.587785,-0.809017,0.866025,-0.5,戊,辰,0.587785,-0.809017,0.866025,-0.5,丙,子,0.951057,0.309017,0,1,己,未,1.22465e-16,-1,-0.5,-0.866025,甲,寅,0,1,0.866025,0.5,辛,未,-0.951057,-0.309017,-0.5,-0.866025,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5
3,2024-12-11 21:42:26.216808+08:00,2024-12-11 21:42:26.216808+08:00,HSI,乙亥,甲子,己巳,庚辰,丙子,己未,甲寅,辛未,乙亥,甲丑,辛子,己卯,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,6326375168651053039,2025-06-03 13:42:33.969231+08:00,2024,12,11,21,2,4,False,False,False,False,False,False,346,50,乙,亥,0.587785,0.809017,-0.5,0.866025,甲,子,0,1,0,1,己,巳,1.22465e-16,-1,0.5,-0.866025,庚,辰,-0.587785,-0.809017,0.866025,-0.5,丙,子,0.951057,0.309017,0,1,己,未,1.22465e-16,-1,-0.5,-0.866025,甲,寅,0,1,0.866025,0.5,辛,未,-0.951057,-0.309017,-0.5,-0.866025,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5
4,2024-12-12 21:42:26.216808+08:00,2024-12-12 21:42:26.216808+08:00,HSI,丁亥,乙丑,庚午,壬辰,丙子,己未,甲寅,辛未,丁亥,乙寅,辛子,己卯,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,4766677181847955781,2025-06-03 13:42:33.969231+08:00,2024,12,12,21,3,4,False,False,False,False,False,False,347,50,丁,亥,0.951057,-0.309017,-0.5,0.866025,乙,丑,0.587785,0.809017,0.5,0.866025,庚,午,-0.587785,-0.809017,1.22465e-16,-1,壬,辰,-0.951057,0.309017,0.866025,-0.5,丙,子,0.951057,0.309017,0,1,己,未,1.22465e-16,-1,-0.5,-0.866025,甲,寅,0,1,0.866025,0.5,辛,未,-0.951057,-0.309017,-0.5,-0.866025,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5
5,2024-12-13 21:42:26.216808+08:00,2024-12-13 21:42:26.216808+08:00,HSI,己亥,丙寅,辛未,甲辰,丙子,己未,甲寅,辛未,己亥,丙卯,壬子,己卯,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,1960137839471650618,2025-06-03 13:42:33.969231+08:00,2024,12,13,21,4,4,False,False,False,False,False,False,348,50,己,亥,1.22465e-16,-1,-0.5,0.866025,丙,寅,0.951057,0.309017,0.866025,0.5,辛,未,-0.951057,-0.309017,-0.5,-0.866025,甲,辰,0,1,0.866025,-0.5,丙,子,0.951057,0.309017,0,1,己,未,1.22465e-16,-1,-0.5,-0.866025,甲,寅,0,1,0.866025,0.5,辛,未,-0.951057,-0.309017,-0.5,-0.866025,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5
6,2024-12-16 21:42:26.216808+08:00,2024-12-16 21:42:26.216808+08:00,HSI,乙亥,己巳,甲戌,庚辰,丙子,己未,甲寅,辛未,乙亥,己午,丁子,己卯,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,1521474368198191465,2025-06-03 13:42:33.969231+08:00,2024,12,16,21,0,4,False,False,False,False,False,False,351,51,乙,亥,0.587785,0.809017,-0.5,0.866025,己,巳,1.22465e-16,-1,0.5,-0.866025,甲,戌,0,1,-0.866025,0.5,庚,辰,-0.587785,-0.809017,0.866025,-0.5,丙,子,0.951057,0.309017,0,1,己,未,1.22465e-16,-1,-0.5,-0.866025,甲,寅,0,1,0.866025,0.5,辛,未,-0.951057,-0.309017,-0.5,-0.866025,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5
7,2024-12-17 21:42:26.216808+08:00,2024-12-17 21:42:26.216808+08:00,HSI,丁亥,庚午,乙亥,壬辰,丙子,己未,甲寅,辛未,丁亥,庚未,丁子,己卯,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,6065384333600704598,2025-06-03 13:42:33.969231+08:00,2024,12,17,21,1,4,False,False,False,False,False,False,352,51,丁,亥,0.951057,-0.309017,-0.5,0.866025,庚,午,-0.587785,-0.809017,1.22465e-16,-1,乙,亥,0.587785,0.809017,-0.5,0.866025,壬,辰,-0.951057,0.309017,0.866025,-0.5,丙,子,0.951057,0.309017,0,1,己,未,1.22465e-16,-1,-0.5,-0.866025,甲,寅,0,1,0.866025,0.5,辛,未,-0.951057,-0.309017,-0.5,-0.866025,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5
8,2024-12-18 21:42:26.216808+08:00,2024-12-18 21:42:26.216808+08:00,HSI,己亥,辛未,丙子,甲辰,丙子,己未,甲寅,辛未,己亥,辛申,戊子,己卯,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,14190890802354563745,2025-06-03 13:42:33.969231+08:00,2024,12,18,21,2,4,False,False,False,False,False,False,353,51,己,亥,1.22465e-16,-1,-0.5,0.866025,辛,未,-0.951057,-0.309017,-0.5,-0.866025,丙,子,0.951057,0.309017,0,1,甲,辰,0,1,0.866025,-0.5,丙,子,0.951057,0.309017,0,1,己,未,1.22465e-16,-1,-0.5,-0.866025,甲,寅,0,1,0.866025,0.5,辛,未,-0.951057,-0.309017,-0.5,-0.866025,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5
9,2024-12-19 21:42:26.216808+08:00,2024-12-19 21:42:26.216808+08:00,HSI,辛亥,壬申,丁丑,丙辰,丙子,己未,甲寅,辛未,辛亥,壬酉,戊子,己卯,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,14471942081955065518,2025-06-03 13:42:33.969231+08:00,2024,12,19,21,3,4,False,False,False,False,False,False,354,51,辛,亥,-0.951057,-0.309017,-0.5,0.866025,壬,申,-0.951057,0.309017,-0.866025,-0.5,丁,丑,0.951057,-0.309017,0.5,0.866025,丙,辰,0.951057,0.309017,0.866025,-0.5,丙,子,0.951057,0.309017,0,1,己,未,1.22465e-16,-1,-0.5,-0.866025,甲,寅,0,1,0.866025,0.5,辛,未,-0.951057,-0.309017,-0.5,-0.866025,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5
